date,tournament,team1,team2,picks1,picks2,bans1,bans2,winner
2025-03-09,RPL 2025 Summer - GS,HD,eA,"Ryoma,Bolt Baron,Ignis,Violet,Enzo","Riktor,Keera,Iggy,Capheny,TeeMee","Maloch,Billow,Omen,Skud","Valhein,Marja,Stuart,Elsu",eA
2025-03-09,GCS 2025 Spring GS,FW,BMG,"Ryoma,Billow,Krixi,Hayate,Enzo","Murad,Eland'orr,Liliana,Capheny,Maloch","TeeMee,Keera,Omen,Alice","Valhein,Marja,Mganga,Natalya",FW
2025-03-09,GCS 2025 Spring GS,FW,BMG,"Qi,Nakroth,Sephera,Capheny,TeeMee","Yena,Aoi,Ignis,Valhein,Baldum","Bolt Baron,Billow,Omen,Roxie","Marja,Fennik,Iggy,Errol",FW
2025-03-09,GCS 2025 Spring GS,FW,BMG,"Yena,Keera,Liliana,Stuart,Ming","Skud,Fennik,Iggy,Elsu,Thane","Bolt Baron,Billow,Florentino,Maloch","Marja,TeeMee,Dolia,Enzo",BMG
2025-03-09,GCS 2025 Spring GS,FW,BMG,"Bolt Baron,Zuka,Raz,Violet,Arduin","Marja,Nakroth,Natalya,Stuart,Enzo","Valhein,TeeMee,Qi,Mganga","Fennik,Eland'orr,Omen,Liliana",FW
2025-03-09,AOG Spring 2025 GS1,SPN,FPL,"Marja,Enzo,Raz,Tel'Annas,Zip","Ryoma,Billow,Tulen,Violet,TeeMee","Maloch,Valhein,Qi,Stuart","Bolt Baron,Fennik,Omen,Murad",SPN
2025-03-09,AOG Spring 2025 GS1,SPN,FPL,"Charlotte,Eland'orr,Rouie,Stuart,TeeMee","Florentino,Murad,Ignis,Capheny,Toro","Billow,Maloch,Ryoma,Qi","Valhein,Bolt Baron,Mina,Omen",SPN
2025-03-09,AOG Spring 2025 GS1,SPN,FPL,"Airi,Keera,Maloch,Violet,Dolia","Omen,Bolt Baron,Rouie,Hayate,Arduin","Eland'orr,Billow,Enzo,Florentino","Valhein,Marja,Capheny,Laville",SPN
2025-03-09,RPL 2025 Summer - GS,FS,KOG,"Yena,Fennik,Ignis,Valhein,Grakk","Qi,Keera,Natalya,Tel'Annas,Y'bneth","Florentino,Raz,TeeMee,Riktor","Billow,Marja,Omen,Yan",FS
2025-03-09,RPL 2025 Summer - GS,FS,KOG,"Bolt Baron,Sephera,Natalya,Capheny,Arduin","Murad,Eland'orr,Ignis,Omen,Enzo","Raz,Stuart,Florentino,Ryoma","Valhein,Billow,Marja,Mina",FS
2025-03-09,RPL 2025 Summer - GS,FS,KOG,"Kil'Groth,Aoi,Iggy,Eland'orr,Wiro Sableng","Mina,Billow,Maloch,Laville,Dolia","Valhein,Raz,Capheny,Tel'Annas","Marja,Stuart,Florentino,Roxie",KOG
2025-03-09,RPL 2025 Summer - GS,FS,KOG,"Ryoma,Keera,Raz,Hayate,TeeMee","Marja,Zuka,Rouie,Violet,Arduin","Eland'orr,Stuart,Omen,Capheny","Valhein,Billow,Qi,Murad",FS
